ID,X,Y,ELEV,DESC
1,328286.2015,2074902.045,545.3,
2,328273.0115,2074889.935,545.8,
3,328269.1753,2074885.419,545.9,
4,328265.3449,2074881.662,546,
5,328257.6691,2074877.215,546,
6,328246.9151,2074872.058,546,
7,328240.8105,2074868.313,546.1,
8,328234.7366,2074863.788,546.4,
9,328225.6795,2074857.736,547.5,
10,328219.7453,2074853.14,548.4,
11,328219.0044,2074852.377,548.5,
12,328216.7891,2074850.084,549,
13,328212.3923,2074845.487,550,
14,328209.4683,2074843.184,550.6,
15,328206.6429,2074839.322,551.5,
16,328203.1189,2074834.698,553.1,
17,328201.7264,2074831.638,553.8,
18,328200.3351,2074828.582,554.5,
19,328198.244,2074824.762,555.6,
20,328195.4553,2074820.185,556.8,
21,328192.7066,2074812.605,558.3,
22,328190.5506,2074807.342,559,
23,328188.3947,2074803.584,559.7,
24,328187.6655,2074799.84,559.9,
25,328186.2083,2074792.356,560.2,
26,328182.6202,2074783.38,560.9,
27,328180.4788,2074777.405,561.6,
28,328179.0398,2074768.456,562.5,
29,328176.1871,2074758.032,563.6,
30,328173.269,2074750.611,564.2,
31,328170.2493,2074742.457,564.4,
32,328169.4809,2074739.49,564.4,
33,328167.1401,2074732.82,564.5,
34,328167.0313,2074727.614,564.4,
35,328166.982,2074724.639,564.4,
36,328166.214,2074722.415,564.4,
37,328165.4592,2074720.934,564.4,
38,328163.9485,2074717.974,564.3,
39,328162.4005,2074712.782,564,
40,328161.5952,2074708.325,563.7,
41,328161.4311,2074700.875,563.3,
42,328161.2626,2074694.906,562.9,
43,328161.1617,2074688.944,562.6,
44,328161.1112,2074685.962,562.5,
45,328161.0223,2074680.741,562.3,
46,328160.9334,2074675.52,562.1,
47,328160.896,2074673.282,562.1,
48,328162.223,2074666.536,561.6,
49,328164.9926,2074660.497,560.9,
50,328165.0063,2074653.81,561.1,
51,328167.899,2074648.544,561,
52,328171.5182,2074640.288,560.9,
53,328173.6993,2074635.038,560.9,
54,328175.1549,2074631.29,560.9,
55,328175.1451,2074627.57,561.1,
56,328177.3023,2074623.051,561,
57,328178.0316,2074619.32,561.1,
58,328179.4923,2074611.861,561.3,
59,328180.2684,2074606.673,561.5,
60,328181.7617,2074602.204,561.6,
61,328184.1918,2074588.211,562.7,
62,328185.0312,2074582.341,563.4,
63,328185.8716,2074577.959,564,
64,328187.541,2074571.416,564.8,
65,328187.6813,2074566.352,565.6,
66,328189.2676,2074560.51,566.2,
67,328189.3394,2074556.146,566.7,
68,328190.8873,2074551.761,567.1,
69,328191.7149,2074546.673,567.7,
70,328193.2331,2074542.272,568.2,
71,328194.7373,2074539.333,568.6,
72,328196.2415,2074536.395,568.9,
73,328199.9833,2074529.773,569.1,
74,328201.4712,2074526.09,569.1,
75,328205.1223,2074520.855,568.9,
76,328205.8436,2074519.359,568.8,
77,328207.284,2074516.364,568.7,
78,328209.4475,2074513.338,568.4,
79,328210.8815,2074510.334,568.3,
80,328213.0314,2074505.824,568.1,
81,328215.9175,2074502.026,567.7,
82,328217.3447,2074498.275,567.5,
83,328222.3858,2074489.954,566.9,
84,328223.8073,2074485.457,566.8,
85,328225.2454,2074482.444,566.6,
86,328227.4194,2074479.41,566.4,
87,328230.3077,2074474.126,566.2,
88,328233.2099,2074468.858,566,
89,328234.6348,2074465.085,565.8,
90,328236.7954,2074461.288,565.6,
91,328238.9293,2074455.252,565.5,
92,328241.821,2074450.681,565.3,
93,328244.7116,2074446.104,565.1,
94,328246.8764,2074442.297,565,
95,328249.0769,2074439.279,564.8,
96,328250.5312,2074437,564.7,
97,328253.4499,2074433.187,564.4,
98,328255.6199,2074429.378,564.1,
99,328259.2843,2074426.276,563.7,
100,328261.4424,2074422.431,563.4,
101,328264.3334,2074419.275,562.9,
102,328266.4856,2074416.866,562.5,
103,328268.6271,2074414.43,562.2,
104,328271.5218,2074412.717,561.7,
105,328275.1581,2074410.235,561.1,
106,328279.5478,2074409.196,560.5,
107,328283.2093,2074408.205,559.9,
108,328288.321,2074406.321,559,
109,328294.1881,2074405.865,557.9,
110,328299.3236,2074405.437,556.6,
111,328302.2601,2074405.181,555.9,
112,328305.9373,2074404.865,555.1,
113,328308.8984,2074404.656,554.4,
114,328314.8421,2074404.274,553,
115,328318.548,2074403.989,552.1,
116,328320.7702,2074403.802,551.7,
117,328323.7373,2074403.552,551.2,
118,328328.9785,2074403.264,550.4,
119,328332.7273,2074403.058,549.8,
120,328336.4771,2074402.842,549.2,
121,328340.9906,2074403.345,548.6,
122,328342.4957,2074403.268,548.3,
123,328346.2877,2074405.366,547.7,
124,328351.5843,2074406.634,546.9,
125,328356.116,2074407.86,546.3,
126,328359.1507,2074409.931,545.8,
127,328365.9746,2074412.529,544.7,
