ID,X(LocalCRS),Y(LocalCRS),ELEV,DESC,X(UTM43N),Y(UTM43N)
1,226.2015,602.045,545.3,,328286.2015,2074902.045
2,213.0115,589.935,545.8,,328273.0115,2074889.935
3,209.1753,585.419,545.9,,328269.1753,2074885.419
4,205.3449,581.662,546,,328265.3449,2074881.662
5,197.6691,577.215,546,,328257.6691,2074877.215
6,186.9151,572.058,546,,328246.9151,2074872.058
7,180.8105,568.313,546.1,,328240.8105,2074868.313
8,174.7366,563.788,546.4,,328234.7366,2074863.788
9,165.6795,557.736,547.5,,328225.6795,2074857.736
10,159.7453,553.14,548.4,,328219.7453,2074853.14
11,159.0044,552.377,548.5,,328219.0044,2074852.377
12,156.7891,550.084,549,,328216.7891,2074850.084
13,152.3923,545.487,550,,328212.3923,2074845.487
14,149.4683,543.184,550.6,,328209.4683,2074843.184
15,146.6429,539.322,551.5,,328206.6429,2074839.322
16,143.1189,534.698,553.1,,328203.1189,2074834.698
17,141.7264,531.638,553.8,,328201.7264,2074831.638
18,140.3351,528.582,554.5,,328200.3351,2074828.582
19,138.244,524.762,555.6,,328198.244,2074824.762
20,135.4553,520.185,556.8,,328195.4553,2074820.185
21,132.7066,512.605,558.3,,328192.7066,2074812.605
22,130.5506,507.342,559,,328190.5506,2074807.342
23,128.3947,503.584,559.7,,328188.3947,2074803.584
24,127.6655,499.84,559.9,,328187.6655,2074799.84
25,126.2083,492.356,560.2,,328186.2083,2074792.356
26,122.6202,483.38,560.9,,328182.6202,2074783.38
27,120.4788,477.405,561.6,,328180.4788,2074777.405
28,119.0398,468.456,562.5,,328179.0398,2074768.456
29,116.1871,458.032,563.6,,328176.1871,2074758.032
30,113.269,450.611,564.2,,328173.269,2074750.611
31,110.2493,442.457,564.4,,328170.2493,2074742.457
32,109.4809,439.49,564.4,,328169.4809,2074739.49
33,107.1401,432.82,564.5,,328167.1401,2074732.82
34,107.0313,427.614,564.4,,328167.0313,2074727.614
35,106.982,424.639,564.4,,328166.982,2074724.639
36,106.214,422.415,564.4,,328166.214,2074722.415
37,105.4592,420.934,564.4,,328165.4592,2074720.934
38,103.9485,417.974,564.3,,328163.9485,2074717.974
39,102.4005,412.782,564,,328162.4005,2074712.782
40,101.5952,408.325,563.7,,328161.5952,2074708.325
41,101.4311,400.875,563.3,,328161.4311,2074700.875
42,101.2626,394.906,562.9,,328161.2626,2074694.906
43,101.1617,388.944,562.6,,328161.1617,2074688.944
44,101.1112,385.962,562.5,,328161.1112,2074685.962
45,101.0223,380.741,562.3,,328161.0223,2074680.741
46,100.9334,375.52,562.1,,328160.9334,2074675.52
47,100.896,373.282,562.1,,328160.896,2074673.282
48,102.223,366.536,561.6,,328162.223,2074666.536
49,104.9926,360.497,560.9,,328164.9926,2074660.497
50,105.0063,353.81,561.1,,328165.0063,2074653.81
